amitriptylin \dak\""	200
methylphenidate \sandoz\""	199
imidacloprid	198
creme	198
topiramat	197
vin	197
bendroflumethiazid kaliumchlorid	196
vaskepuder	196
oxabenz	196
imoclone	196
diacetylmorfin	195
kølegas	194
malfin	193
cannabis ekstrakt (cbd) cannabis ekstrakt (thc)	191
diesel	190
knapcelle	190
fredslilje	190
combar	190
fosforsyre	189
natriumhydroxid	189
propan butan	188
unikalk	188
carvedilol	186
stesolid	186
quetiapin \sandoz\""	185
zuclopenthixoldihydrochlorid	184
superlim	184
psilocybe semilanceata	183
nortriptylin	183
vitaminer	183
omeprazol	182
alminox \dak\""	181
aluminiumaminoacetat hydrat magnesiumhydroxid t	180
irriterende gasser	180
brintoverilte	179
metoprololtartrat	178
noritren	178
lysergsyrediethylamid	177
oxynorm	177
prometazin \era\""	177
tusch	176
kvalkved	175
deprimerende	174
pastinak	172
teoretisk forespørgsel	171
methanol	169
pyrethroider	169
bønner	169
diclofenacnatrium	168
amlodipin \teva\""	168
ukendt plante	164
blomstergødning (til potteplanter)	164
brandrøg udendørs	164
forespørgsel	162
svovl kaliumchlorat manganoxid	161
køleelementer	161
kermesbær	161
oxcarbazepin	160
terpentin	160
medikinet	160
npk-gødning	160
aciclovir	159
mug	158
hyldebær	158
alrengøring	158
nitrazepam	157
grundrens	157
kodein \sad\""	156
klorin ukendt konc	156
lansoprazol	154
vinduespudsemidler	154
delepsine	154
cement	153
sort natskygge	153
ramsløg	152
benserazidhydrochlorid levodopa	151
citalopram \teva\""	151
duftolie	150
round up	149
klorhexidingluconat	146
lonicera caprifolium	146
tulipan	145
tændstikker	145
metoclopramid	144
kunstgødning	144
d-vitamin	143
ritalin uno	142
deodorant	142
methan	141
lightergas	141
fentanyl	140
hypochlorit	140
amoxicillintrihydrat	139
svampe - symptomer	139
cisordinol	139
orphenadrinhydrochlorid	138
atarax	137
atorvastatin \teva\""	136
cholecalciferoldiluendum	135
codein	135
efeu	135
ærteblomst	135
primcillin	135
quetiapin \hexal\""	135
petroleum	134
denatureret sprit	134
maskinopvaskemiddel industrielt	134
lysantin	134
diphenhydraminhydrochlorid	133
flamingo	133
klorgas	132
sprinklervæske	132
ammoniummolybdat ammoniumvanadat ascorbinsyre b	132
zopiclone \jubilant\""	132
benzodiazepin	131
ikke relevant	131
algemiddel	131
dicloxacillinnatrium (vandfrit)	130
valproat \sandoz\""	130
rabarber	130
citalopram \vitabalans\""	130
pinex	130
salmiakspiritus	129
imprægneringsmidler	129
sekundlim	129
propranolol \dak\""	128
stimulerende	127
paradistræ	127
magnesia \dak\""	127
quetiapine \teva\""	127
motiron	126
selo-zok	126
myggemiddel	125
haloperidol	123
polystyren	122
vand	121
nonioniske tensider	121
hudplejemidler	121
metformin \teva\""	121
kanel	120
stuetrøst	120
sprit	120
benved	119
ketaminhydrochlorid	118
vejsalt	118
kodein \dak\""	118
loratadin	116
memantinhydrochlorid	116
rødt bær	116
skyllemiddel tekstil	116
mispel	116
isopropanol methanol	115
kviksølvtermometer	115
vortefri	114
keppra	114
methamfetamin	113
isotretinoin	113
fiskeolie rig på omega-3-syrer	113
pramipexol	112
paroxetin	112
zolpidem \vitabalans\""	112
zolpidem \hexal\""	112
rhododendron	112
natriumchlorid urea	111
ikke seriøs henvendelse	111
klorin	111
spids nøgenhat	111
cowboykaktus	111
isopropylalkohol	110
zyprexa	110
alprox	110
klorin ? 5%	110
klorhexidin	109
ethinylestradiol levonorgestrel	109
laburnum anagyroides	109
eddikesyre 32%	109
quetiapin \winthrop\""	108
brun sæbe	108
høst-tidløs	108
bromazepam	107
bisacodyl	107
quetiapin \pfizer\""	107
cyanocobalamin	106
allopurinol	106
d-dråber	106
pulverslukker	106
fluoxetin \sandoz\""	106
polyurethan	105
montelukastnatrium	105
ukendt rødt bær	104
bly	103
klorin  5%	103
multivitamin	102
mianserinhydrochlorid	102
warfarinnatrium	102
viburnum opulus	101
codeinphosphathemihydrat paracetamol	101
bekæmpelsesmiddel ukendt	101
dunet gedeblad	101
mebendazol	100
phosforsyre	100
imovane	100
enalapril \teva\""	100
hydrocortison	99
telfast	99
meclozinhydrochlorid	98
svovlsyre	98
zonisamid	98
kobbersulfat	98
chili	98
baklofen \mylan\""	98
lercanidipinhydrochlorid	97
myresyre	97
chlor	97
eddikesyre 32 %	97
serenase	97
vintergæk	96
leponex	96
pebermynteolie	95
ascorbinsyre	95
centyl med kaliumklorid	95
benylan	95
grillrens	95
kirsebær	94
muskatnød	94
marevan	94
verapamilhydrochlorid	93
mørtel	93
hydrocortisonbutyrat	92
2-komponent evt. oplmiddel	92
delepsine retard	92
fingerbøl	92
minus kalk	91
stearin paraffin	91
digitalis purpurea	91
mistelten	91
naturgas	91
vandfarve	91
lupin	91
prednison	90
magnesia \medic\""	90
svovlbrinte	90
naltrexonhydrochlorid	89
fiskeolie	89
clomipraminhydrochlorid	89
lacosamid	89
kaktus	89
vermox	89
bilbatteri	89
diclofenacdiethylammonium	88
valmue	88
brillerens	87
ondansetron	87
quetiapin \stada\""	87
vandperler	86
salpetersyre	86
noget i drink hallucinogent	86
asbest	85
hårfarve	85
base	85
kulbrinter simple alifatiske	85
kids zoo	85
buksbom	85
phenobarbital	84
baser	84
ecstacy	84
batteri mini	84
sertralin \teva\""	84
bremsevæske	84
antikoagulantia langtidsvirkende	84
robinie	84
glykolæter	83
permethrin	83
brintellix	83
amanita muscaria	83
sukkulenter	83
quetiapin \actavis\""	83
rød fluesvamp	83
spironolacton	82
marihuana	82
amlodipinmesilatmonohydrat	82
aerius	82
postafen	82
polykarboxylater	81
temesta	81
stearinlys	81
euthyrox	81
vimpat	81
pancillin	80
epoxylim	80
maling	79
acetylcystein	79
methylphenidate \hexal\""	79
proteserens	79
tradolan retard	79
mahonie	79
insulin aspart	78
tizanidinhydrochlorid	78
amisulprid	78
sildenafilcitrat	78
isopropanol	78
aluminiumsfolie	78
agern	78
knapcelle lithium	78
vedbend	78
zonoct	78
cypres-vortemælk	78
icaridin	77
felodipin	77
vitamin	77
myregift	77
glyphosat	77
quetiapin \krka\""	77
seroquel prolong	77
buprenorphinhydrochlorid naloxonhydrochloriddihyd	76
clobazam	76
rodalon	76
deprakine	76
thuja	76
perlehyacint	76
acamprosatcalcium	75
snegl	75
paliperidon	75
vægmaling	75
peberspray	75
pebertræ	75
jord	74
trekantsøjle	74
suboxone	74
quetiapin \mylan\""	74
natriumalendronat (trihydrat)	73
gummi-figen	73
solcreme	73
cymbalta	73
viagra	72
lithiumkarbonat	72
ovnrens ikke stærk base	72
nerie	72
dimethylaminodiphenylbutenhydrochlorid ketobemido	71
ozempic	71
lagereddike	71
kaliumhydroxyd	71
linicin	71
formaldehyd	71
selexid	71
hårplejemidler	71
paracetamol \teva\""	71
dulcolax	71
loperamidhydrochlorid	70
ciprofloxacin	70
ketogan	70
tændblok	70
tramadol retard \hexal\""	70
enalapril \vitabalans\""	70
fliserens	69
akrylmaling	69
kridt	69
frisium	69
bagepulver	68
isosorbidmononitrat	68
buprenorphin	68
koraltop	68
campral	68
deprakine retard	68
glasrens	67
kølepose	67
ajax	67
apydan	67
cetirizin \teva\""	67
plastmaling	67
diclofenackalium	66
atenolol	66
larve	66
quetiapin \intas\""	66
quetiapin \accord\""	66
hexalid	66
processionsspinder	65
calciumcarbonat magnesiumhydroxid	65
clarithromycin	65
grøn fluesvamp	65
quetiapin \orion\""	65
kul	64
buprenorphinhydrochlorid	64
orkide	64
hydraulikvæske	64
blåregn	64
tramadol \actavis\""	64
calciumhydroxyd	63
sumatriptansuccinat	63
agomelatin	63
pilea	63
mineralsk terpentin	63
locoid	63
motorolie	63
litiumkarbonat \oba\""	63
dicillin	63
jødekirsebær	63
dabigatranetexilatmesilat	62
quininhydrochlorid dihydrat	62
pletfjerner	62
mepyramin	62
spartelmasse	62
tændvæske	62
almindelig snebær	62
mundskyllevæske	62
lamotrigin \teva\""	62
stilnoct	62
kodipar	62
pradaxa	62
kationiske tensider	61
fælgrens	61
neglelim	61
carbidopamonohydrat levodopa	61
kviksølv	61
læbepomenade	61
julestjerne	61
balancid novum	61
atomoxetine \teva\""	61
pimobendan	60
propylenglycol	60
kaliumhydroxid	60
fortyndet	60
cyanea capillata cyanea lamarckii	60
epoxymaling	60
cipralex	60
metformin \vitabalans\""	60
pivmecillinamhydrochlorid	59
sulfamethizol	59
smøreolie	59
blæk	59
kodein stærk \dak\""	59
lud	59
cipramil	59
ancozan	59
sorbus aucuparia	58
tetracyclinhydrochlorid	58
roxithromycin	58
phosphorsyre	58
fluconazol	58
rønnebær	58
magneter	58
kinin \dak\""	58
galnebær	58
corodil	58
saroten	58
terbinafin	57
vortemiddel	57
thiamazol	57
fugemasse	57
diclon	57
bøg	57
ikke seriøst	56
kosttilskud	56
ozon	56
intuniv	56
p-pille	56
3-dobbelt salmiakspiritus	56
medikinet cr	56
folinsyre \sad\""	56
brandmand	56
midazolam	55
bisoprololfumarat	55
magnesium	55
babyolie	55
metoprololsuccinat \teva\""	55
skarntyde	55
tørst	55
skimmelsvamp	54
jardiance	54
clopidogrelhydrogensulfat	54
fosfater	54
salbutamolsulfat	54
røde bær	54
kaliumpermanganat	54
cotoneaster	54
femicept	54
risperdal	54
aesculus hippocastanum	53
miconazol	53
zinksalve	53
candesartancilexetil	53
blyant	53
venlafaxin \sandoz\""	53
trimonil retard	53
alendronat \teva\""	53
meloxicam	52
skumgummi	52
omega-3 fri fedt syre (croda chemicals) soyaolie	52
brentan	52
sparepære	52
opl.middel gummilim	51
azamethiphos	51
pramipexoldihydrochloridmonohydrat	51
vortioxetin	51
flaskegas	51
bitter mandel	51
imodium	51
imacillin	51
amlodipin \sandoz\""	51
glansbladet hæg	51
akineton	51
ikke forgiftning	50
bromhexinhydrochlorid	50
xylometazolinhydrochlorid	50
fusidinsyre	50
forkert nummer	50
energidrik	50
amoxicillin clavulansyre	50
apis mellifera	50
ranunkel	50
karl johan	50
flamingoblomst	50
varmemålervæske	50
lysstofrør	50
kartoffel	50
metoprolol \gea\""	50
hydrangea macrophylla	49
mecillinam	49
apoquel	49
domperidon	49
latuda	49
norethisteron	49
limstift	49
hestekastanie	49
oxycodonhydrochlorid \teva\""	49
quetiapin \orifarm\""	49
mianserin \orifarm\""	49
cucurbitaciner	48
inotyol	48
freon	48
metforminhydrochlorid vildagliptin	48
hallucinogene svampe	48
hortensia	48
topimax	48
eranthis	48
oxycodone \orion\""	48
montelukast \teva\""	48
ferro duretter	48
gips	48
levomepromazinmaleat	47
cyanogene glykosider i planter	47
colchicin	47
minuskalk	47
medikinet retard	47
nozinan	47
kontaktlim	47
slåen	47
aske	46
ethanol > 85%	46
lurasidon	46
pu skum	46
ferrosulfat tørret	46
sibutramin	46
vanish	46
novorapid	46
isoptin retard	46
benaday	46
dolol retard uno	46
mildin	46
clopixol	46
quetiapin \svus\""	46
hydroxychloroquinsulfat	45
rizatriptanbenzoat	45
sølvpapir	45
rottegift	45
ivermectin	45
biperidenhydrochlorid	45
valium	45
kontaktlinseprodukter	45
vialerg	45
tegretol	45
biotin	44
ziprasidon	44
psykotomimetisk	44
clenbuterolhydrochlorid	44
natskygge	44
plettet dieffenbachia	44
alkogel	44
zonegran	44
calcium cholecalciferol	43
triazolam	43
mirabegron	43
cocainhydrochlorid	43
gær	43
nifedipin	43
finasterid	43
akkumulator	43
slim	43
kulbrinter gasser	43
byggeprodukter andre	43
salmiak spiritus	43
pigæble	43
husholdningssprit	43
bromam	43
ethanol  85%	42
amylmetacresol dichlorbenzylalkohol	42
honning	42
doxylaminhydrogensuccinat	42
trinol 810	42
testosteron	42
tamsulosinhydrochlorid	42
rensebenzin	42
quetiapin	42
jernsulfat	42
lithiumkarbonat mmol	42
folimet	42
guldranke	42
perikon	42
clonidinhydrochlorid	41
ichthammol titandioxid (e 171) zinkoxid	41
vinterbær	41
doxazosinmesilat	41
magnesiumcitrat	41
acetazolamid	41
tomat	41
letrozol	41
husholdningseddike	41
aloe vera	41
edderkop	41
talkum	41
rødvin	41
plaquenil	41
stormhat	41
udstødningsgas motor	41
invega	41
persulfat	40
rosuvastatin calcium	40
methadon \alternova\""	40
bygas	40
minirin	40
orfiril	40
betmiga	40
diamox	40
zypadhera	40
dexpanthenol nicotinamid pyridoxinhydrochlorid	39
modafinil	39
ukendt medicin	39
vortex	39
amoxicillintrihydrat kaliumclavulanat	39
cinnarizin	39
escitalopramoxalat	39
kattegrus	39
diazepam \dak\""	39
gedeblad	39
hårshampoo	39
læge-baldrian	39
hjerdyl	39
pantoprazol \actavis\""	39
valdoxan	39
sinemet 25/100	39
centyl mite med kaliumklorid	39
zinkgluconat	38
eddike	38
monstera	38
amiodaronhydrochlorid	38
hydrochlorthiazid losartankalium	38
fejl	38
insulin glargin	38
desogestrel	38
melanotan	38
aluminiumphosphid	38
isocarboxazid	38
attentin	38
cilit bang	38
flussyre	38
ukendte bær	38
hårblegemidler	38
metalgenstande	38
bromhexin \dak\""	38
fugeskum	38
altifex	38
kantarel	38
karbol champignon	38
neophos	37
magnesiumsulfat (vandfrit)	37
helium	37
chloramphenicol	37
vancomycin	37
sildenafil	37
sulfaminsyre	37
carbidopa levodopa	37
squishie	37
tecfidera	37
azithromycin	37
amelanchier spicata	37
isocyanat	37
hårlak	37
termometer	37
oxalsyre	37
ukendt sort bær	37
farveblyant	37
voltaren	37
nikotintyggegummi	37
losartan \jubilant\""	37
stor konval	37
kokain \nmi\""	37
latyrus	37
marplan	37
ferroduretter	36
tiotropium bromid	36
perampanel	36
tobak	36
vitaminpiller	36
rivastigmin	36
fingermaling	36
quetiapin \1a farma\""	36
trylledej	36
b-combin stærk \sad\""	36
fortamol	36
alger i badevand	36
penomax	36
ibuprofen \teva\""	36
losartankalium \teva\""	36
ethanol > 70%	35
aa	35
bzd	35
dræbersnegl	35
zuclopenthixoldecanoat	35
agarius xanthoderma	35
træolie	35
bær ukendt	35
kobber	35
citalopram \orion\""	35
oxycodone \sandoz\""	35
svaleurt	35
tusindfryd	35
anafranil	35
phosphin	35
alprazolam \sandoz\""	35
natriumpicosulfat	34
vand sterilt	34
fipronil	34
clopidogrelhydrochlorid	34
nitrit	34
champignon	34
kattelort	34
metoclopramidhydrochlorid	34
jern c	34
imdur	34
anemone	34
almindelig hortensia	34
træbeskyttelsesmidler	34
citalopram \mylan\""	34
zopiclone \actavis\""	34
brandbæger	34
toilax	34
levodopa/benserazid \teva\""	34
akvarelfarver	34
vikingeskjold	34
